"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"230470 Granja";10;22;10;6;2;-;50
"230480 Granjeiro";1;15;3;6;-;-;25
"230490 Groaíras";-;10;5;4;-;-;19
"230495 Guaiúba";-;6;-;7;-;-;13
"230500 Guaraciaba do Norte";6;20;8;6;-;-;40
"230510 Guaramiranga";-;6;1;4;-;-;11
"230520 Hidrolândia";1;11;6;4;1;-;23
"230523 Horizonte";8;20;13;6;1;-;48
"230526 Ibaretama";-;10;6;4;-;1;21
"230530 Ibiapina";4;12;3;6;12;-;37
"230533 Ibicuitinga";-;6;1;1;-;-;8
"230535 Icapuí";-;10;2;4;-;-;16
"230540 Icó";19;14;15;6;-;-;54
"230550 Iguatu";36;70;22;65;4;-;197
"230560 Independência";-;10;5;4;-;-;19
"230565 Ipaporanga";-;8;4;6;-;-;18
"230570 Ipaumirim";-;17;3;6;-;-;26
"230580 Ipu";14;22;20;5;2;-;63
"230590 Ipueiras";7;17;6;9;1;-;40
"230600 Iracema";2;16;6;7;-;-;31
"230610 Irauçuba";3;8;4;6;-;-;21
"230620 Itaiçaba";-;11;2;4;-;-;17
"230625 Itaitinga";-;10;6;10;-;-;26
"230630 Itapagé";2;15;7;8;2;-;34
"230640 Itapipoca";28;49;37;24;2;-;140
"230650 Itapiúna";-;12;7;9;-;-;28
"230655 Itarema";4;13;10;7;1;-;35
"230660 Itatira";-;-;-;-;-;-;-
"230670 Jaguaretama";3;6;4;5;2;-;20
"230680 Jaguaribara";8;20;4;8;-;-;40
"230690 Jaguaribe";4;10;8;8;-;-;30
"230700 Jaguaruana";-;12;5;7;-;-;24
"230710 Jardim";6;32;9;17;-;-;64
"230720 Jati";5;15;5;8;-;-;33
"230725 Jijoca de Jericoacoara";7;6;5;6;-;-;24
"230730 Juazeiro do Norte";120;140;41;56;46;-;403
"230740 Jucás";4;8;6;6;1;-;25
"230750 Lavras da Mangabeira";8;16;8;11;-;-;43
"230760 Limoeiro do Norte";80;81;60;57;-;-;278
"230763 Madalena";-;16;4;4;-;-;24
"230765 Maracanaú";112;68;68;24;27;3;302
"230770 Maranguape";16;13;13;9;-;-;51
"230780 Marco";5;12;5;9;2;-;33
"230790 Martinópole";-;4;3;2;-;-;9
"230800 Massapê";4;14;6;6;-;-;30
"230810 Mauriti";9;31;10;20;-;-;70
"230820 Meruoca";-;10;4;6;-;-;20
"230830 Milagres";9;29;11;16;2;-;67
"230835 Milhã";-;16;5;6;1;-;28
"230837 Miraíma";-;-;-;-;-;-;-
"230840 Missão Velha";12;24;12;21;-;-;69
"230850 Mombaça";8;29;8;8;-;-;53
"230860 Monsenhor Tabosa";6;25;9;8;2;-;50
"230870 Morada Nova";33;29;25;32;2;-;121
"230880 Moraújo";-;6;3;3;-;-;12
"230890 Morrinhos";-;10;4;6;1;-;21
"230900 Mucambo";6;22;6;6;-;-;40
"230910 Mulungu";-;4;3;2;-;-;9
"230920 Nova Olinda";-;12;4;4;-;-;20
"230930 Nova Russas";6;19;11;7;-;-;43
"230940 Novo Oriente";-;10;5;5;-;-;20
"230945 Ocara";-;11;4;4;-;-;19
"230950 Orós";11;12;8;6;-;-;37
"230960 Pacajus";4;25;12;12;-;-;53
"230970 Pacatuba";-;16;3;-;-;-;19
"230980 Pacoti";-;11;4;5;-;-;20
"230990 Pacujá";-;-;-;-;-;-;-
"231000 Palhano";-;3;3;3;-;-;9
"231010 Palmácia";-;8;4;4;-;-;16
"231020 Paracuru";10;11;10;7;1;-;39
"231025 Paraipaba";-;15;4;5;1;-;25
"231030 Parambu";8;16;11;8;-;-;43
"231040 Paramoti";-;17;5;6;-;-;28
"231050 Pedra Branca";10;14;10;14;3;-;51
"231060 Penaforte";-;6;3;3;-;-;12
"231070 Pentecoste";18;12;10;11;-;-;51
"231080 Pereiro";6;10;5;4;-;-;25
"231085 Pindoretama";-;6;3;5;-;-;14
"231090 Piquet Carneiro";-;12;4;6;-;-;22
"231095 Pires Ferreira";-;-;-;-;-;-;-
"231100 Poranga";2;6;3;10;-;-;21
"231110 Porteiras";-;14;3;5;-;-;22
"231120 Potengi";-;8;6;4;-;-;18
"231123 Potiretama";-;6;2;5;-;-;13
"231126 Quiterianópolis";-;10;2;5;-;-;17
"231130 Quixadá";18;23;31;11;9;-;92
"231135 Quixelô";2;10;4;6;2;-;24
"231140 Quixeramobim";91;92;47;53;27;-;310
"231150 Quixeré";-;16;4;5;-;-;25
"231160 Redenção";7;20;16;7;-;-;50
"231170 Reriutaba";-;16;4;6;-;-;26
"231180 Russas";78;43;20;34;5;-;180
"231190 Saboeiro";7;20;4;6;-;-;37
"231195 Salitre";-;8;2;4;-;-;14
"231220 Santa Quitéria";4;24;12;6;-;-;46
"231200 Santana do Acaraú";2;20;10;8;-;-;40
"231210 Santana do Cariri";-;8;4;7;2;-;21
"231230 São Benedito";-;14;7;7;-;-;28
"231240 São Gonçalo do Amarante";12;15;6;5;4;-;42
"231250 São João do Jaguaribe";-;-;-;-;-;-;-
"231260 São Luís do Curu";-;10;5;5;-;-;20
"231270 Senador Pompeu";-;31;12;6;4;-;53
"231280 Senador Sá";-;-;-;-;-;-;-
"231290 Sobral";233;272;103;114;39;-;761
"231300 Solonópole";-;12;6;6;2;-;26
"231310 Tabuleiro do Norte";12;23;7;11;2;-;55
"231320 Tamboril";4;20;6;7;2;-;39
"231325 Tarrafas";-;10;4;2;-;-;16
"231330 Tauá";26;62;20;20;2;-;130
"231335 Tejuçuoca";-;8;4;4;-;-;16
"231340 Tianguá";20;42;20;20;-;10;112
"231350 Trairi";-;6;5;2;-;-;13
"231355 Tururu";-;5;4;4;-;-;13
"231360 Ubajara";-;12;8;4;-;-;24
"231370 Umari";-;13;3;4;-;-;20
"231375 Umirim";-;7;2;4;-;-;13
"231380 Uruburetama";-;12;4;9;-;-;25
"231390 Uruoca";-;6;4;6;-;-;16
"231395 Varjota";-;10;2;6;1;-;19
"231400 Várzea Alegre";14;20;10;9;-;-;53
"231410 Viçosa do Ceará";9;24;13;22;1;-;69
"230000 Município ignorado - CE";-;-;-;-;-;-;-
"240010 Acari";5;12;10;7;-;-;34
"240020 Açu";15;17;10;-;-;-;42
"240030 Afonso Bezerra";-;-;-;-;-;-;-
"240040 Água Nova";-;-;-;-;-;-;-
"240050 Alexandria";48;35;24;17;-;-;124
"240060 Almino Afonso";15;16;12;7;-;-;50
"240070 Alto do Rodrigues";-;11;6;4;-;-;21
"240080 Angicos";4;14;6;4;-;-;28
"240090 Antônio Martins";4;17;5;6;-;-;32
"240100 Apodi";18;21;8;7;6;-;60
"240110 Areia Branca";4;18;8;4;-;-;34
"240120 Arês";5;7;6;6;-;-;24
"240130 Augusto Severo";-;-;-;-;-;-;-
"240140 Baía Formosa";-;3;5;1;-;-;9
"240145 Baraúna";-;17;2;2;-;-;21
"240150 Barcelona";-;6;3;3;-;-;12
"240160 Bento Fernandes";-;5;5;5;-;-;15
"240165 Bodó";-;-;-;-;-;-;-
"240170 Bom Jesus";-;10;-;-;-;-;10
"240180 Brejinho";-;6;3;3;2;-;14
"240185 Caiçara do Norte";-;-;-;-;-;-;-
"240190 Caiçara do Rio do Vento";-;6;-;2;-;-;8
"240200 Caicó";54;56;14;14;8;-;146
"240210 Campo Redondo";-;8;-;-;-;-;8
"240220 Canguaretama";-;-;-;-;-;-;-
"240230 Caraúbas";11;10;6;5;-;-;32
"240240 Carnaúba dos Dantas";3;16;9;5;-;-;33
"240250 Carnaubais";-;11;4;6;-;-;21
"240260 Ceará-Mirim";12;15;12;-;-;-;39
"240270 Cerro Corá";5;8;5;6;-;-;24
"240280 Coronel Ezequiel";-;7;3;2;-;-;12
"240290 Coronel João Pessoa";-;3;3;3;-;-;9
"240300 Cruzeta";-;8;2;2;-;-;12
"240310 Currais Novos";26;34;21;17;-;-;98
"240320 Doutor Severiano";-;12;-;-;-;-;12
"240330 Encanto";-;11;-;7;-;-;18
