"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"240840 Olho-d'Água do Borges";-;-;-;-;-;-;-
"240850 Ouro Branco";-;-;-;-;-;-;-
"240860 Paraná";-;-;-;-;-;-;-
"240870 Paraú";-;-;-;-;-;-;-
"240880 Parazinho";-;-;-;-;-;-;-
"240890 Parelhas";1;2;2;-;-;-;5
"240325 Parnamirim";7;2;-;-;-;5;14
"240910 Passa e Fica";-;-;-;-;-;-;-
"240920 Passagem";-;-;-;-;-;-;-
"240930 Patu";-;5;-;-;-;-;5
"240940 Pau dos Ferros";15;19;1;1;-;-;36
"240950 Pedra Grande";-;-;-;-;-;-;-
"240960 Pedra Preta";-;-;-;-;-;-;-
"240970 Pedro Avelino";-;-;-;-;-;-;-
"240980 Pedro Velho";-;-;-;-;-;-;-
"240990 Pendências";-;-;-;-;-;-;-
"241000 Pilões";-;-;-;-;-;-;-
"241010 Poço Branco";-;-;-;-;-;-;-
"241020 Portalegre";-;-;-;-;-;-;-
"241025 Porto do Mangue";-;-;-;-;-;-;-
"241040 Pureza";-;-;-;-;-;-;-
"241050 Rafael Fernandes";-;-;-;-;-;-;-
"241060 Rafael Godeiro";-;-;-;-;-;-;-
"241070 Riacho da Cruz";-;-;-;-;-;-;-
"241080 Riacho de Santana";-;-;-;-;-;-;-
"241090 Riachuelo";-;-;-;-;-;-;-
"240895 Rio do Fogo";-;-;-;-;-;-;-
"241100 Rodolfo Fernandes";-;-;-;-;-;-;-
"241110 Ruy Barbosa";-;-;-;-;-;-;-
"241120 Santa Cruz";-;5;-;-;-;-;5
"240933 Santa Maria";-;-;-;-;-;-;-
"241140 Santana do Matos";-;-;-;-;-;-;-
"241142 Santana do Seridó";-;-;-;-;-;-;-
"241150 Santo Antônio";-;-;-;-;-;-;-
"241160 São Bento do Norte";-;-;-;-;-;-;-
"241170 São Bento do Trairí";-;-;-;-;-;-;-
"241180 São Fernando";-;-;-;-;-;-;-
"241190 São Francisco do Oeste";-;-;-;-;-;-;-
"241200 São Gonçalo do Amarante";-;-;-;-;-;-;-
"241210 São João do Sabugi";-;-;-;-;-;-;-
"241220 São José de Mipibu";-;-;-;-;-;40;40
"241230 São José do Campestre";-;-;-;-;-;-;-
"241240 São José do Seridó";-;-;-;-;-;-;-
"241250 São Miguel";-;-;-;-;-;-;-
"241255 São Miguel do Gostoso";-;-;-;-;-;-;-
"241260 São Paulo do Potengi";-;4;-;-;-;-;4
"241270 São Pedro";-;-;-;-;-;-;-
"241280 São Rafael";-;-;-;-;-;-;-
"241290 São Tomé";-;-;-;-;-;-;-
"241300 São Vicente";-;-;-;-;-;-;-
"241310 Senador Elói de Souza";-;-;-;-;-;-;-
"241320 Senador Georgino Avelino";-;-;-;-;-;-;-
"241030 Serra Caiada";-;-;-;-;-;-;-
"241330 Serra de São Bento";-;-;-;-;-;-;-
"241335 Serra do Mel";-;-;-;-;-;-;-
"241340 Serra Negra do Norte";-;-;-;-;-;-;-
"241350 Serrinha";-;-;-;-;-;-;-
"241355 Serrinha dos Pintos";-;-;-;-;-;-;-
"241360 Severiano Melo";-;-;-;-;-;-;-
"241370 Sítio Novo";-;-;-;-;-;-;-
"241380 Taboleiro Grande";-;-;-;-;-;-;-
"241390 Taipu";-;-;-;-;-;-;-
"241400 Tangará";-;-;-;-;-;-;-
"241410 Tenente Ananias";-;-;-;-;-;-;-
"241415 Tenente Laurentino Cruz";-;-;-;-;-;-;-
"241105 Tibau";-;-;-;-;-;-;-
"241420 Tibau do Sul";-;-;-;-;-;-;-
"241430 Timbaúba dos Batistas";-;-;-;-;-;-;-
"241440 Touros";-;-;-;-;-;-;-
"241445 Triunfo Potiguar";-;-;-;-;-;-;-
"241450 Umarizal";-;-;-;-;-;-;-
"241460 Upanema";-;-;-;-;-;-;-
"241470 Várzea";-;-;-;-;-;-;-
"241475 Venha-Ver";-;-;-;-;-;-;-
"241480 Vera Cruz";-;-;-;-;-;-;-
"241490 Viçosa";-;-;-;-;-;-;-
"241500 Vila Flor";-;-;-;-;-;-;-
"240000 Município ignorado - RN";-;-;-;-;-;-;-
"250010 Água Branca";-;-;-;-;-;-;-
"250020 Aguiar";-;-;-;-;-;-;-
"250030 Alagoa Grande";-;-;-;-;-;-;-
"250040 Alagoa Nova";-;-;-;-;-;-;-
"250050 Alagoinha";-;-;-;-;-;-;-
"250053 Alcantil";-;-;-;-;-;-;-
"250057 Algodão de Jandaíra";-;-;-;-;-;-;-
"250060 Alhandra";-;-;-;-;-;-;-
"250073 Amparo";-;-;-;-;-;-;-
"250077 Aparecida";-;-;-;-;-;-;-
"250080 Araçagi";-;-;-;-;-;-;-
"250090 Arara";-;-;-;-;-;-;-
"250100 Araruna";-;-;-;-;-;-;-
"250110 Areia";-;-;-;-;-;-;-
"250115 Areia de Baraúnas";-;-;-;-;-;-;-
"250120 Areial";-;-;-;-;-;-;-
"250130 Aroeiras";-;-;-;-;-;-;-
"250135 Assunção";-;-;-;-;-;-;-
"250140 Baía da Traição";-;-;-;-;-;-;-
"250150 Bananeiras";-;-;-;-;-;-;-
"250153 Baraúna";-;-;-;-;-;-;-
"250160 Barra de Santa Rosa";-;-;-;-;-;-;-
"250157 Barra de Santana";-;-;-;-;-;-;-
"250170 Barra de São Miguel";-;-;-;-;-;-;-
"250180 Bayeux";-;-;-;-;-;-;-
"250190 Belém";-;-;-;-;-;-;-
"250200 Belém do Brejo do Cruz";-;3;-;-;-;-;3
"250205 Bernardino Batista";-;-;-;-;-;-;-
"250210 Boa Ventura";-;3;-;-;-;-;3
"250215 Boa Vista";-;-;-;-;-;-;-
"250220 Bom Jesus";-;-;-;-;-;-;-
"250230 Bom Sucesso";-;-;-;-;-;-;-
"250240 Bonito de Santa Fé";-;-;-;-;-;-;-
"250250 Boqueirão";-;-;-;-;-;-;-
"250270 Borborema";-;-;-;-;-;-;-
"250280 Brejo do Cruz";-;-;-;-;-;-;-
"250290 Brejo dos Santos";-;-;-;-;-;-;-
"250300 Caaporã";-;-;-;-;-;-;-
"250310 Cabaceiras";-;-;-;-;-;-;-
"250320 Cabedelo";-;-;-;-;-;-;-
"250330 Cachoeira dos Índios";-;-;-;-;-;-;-
"250340 Cacimba de Areia";-;-;-;-;-;-;-
"250350 Cacimba de Dentro";-;-;-;-;-;-;-
"250355 Cacimbas";-;-;-;-;-;-;-
"250360 Caiçara";-;-;-;-;-;-;-
"250370 Cajazeiras";-;62;-;-;-;-;62
"250375 Cajazeirinhas";-;-;-;-;-;-;-
"250380 Caldas Brandão";-;-;-;-;-;-;-
"250390 Camalaú";-;-;-;-;-;-;-
"250400 Campina Grande";175;122;31;30;4;6;368
"250403 Capim";-;-;-;-;-;-;-
"250407 Caraúbas";-;-;-;-;-;-;-
"250410 Carrapateira";-;-;-;-;-;-;-
"250415 Casserengue";-;-;-;-;-;-;-
"250420 Catingueira";-;-;-;-;-;-;-
"250430 Catolé do Rocha";-;-;-;-;-;-;-
"250435 Caturité";-;-;-;-;-;-;-
"250440 Conceição";-;-;-;-;-;-;-
"250450 Condado";-;-;-;-;-;-;-
"250460 Conde";-;-;-;-;-;60;60
"250470 Congo";-;-;-;-;-;-;-
"250480 Coremas";-;-;-;-;-;-;-
"250485 Coxixola";-;-;-;-;-;-;-
"250490 Cruz do Espírito Santo";-;-;-;-;-;-;-
"250500 Cubati";-;-;-;-;-;-;-
"250510 Cuité";-;-;-;-;-;-;-
"250523 Cuité de Mamanguape";-;-;-;-;-;-;-
"250520 Cuitegi";-;-;-;-;-;-;-
"250527 Curral de Cima";-;-;-;-;-;-;-
"250530 Curral Velho";-;-;-;-;-;-;-
"250535 Damião";-;-;-;-;-;-;-
"250540 Desterro";-;-;-;-;-;-;-
"250560 Diamante";-;-;-;-;-;-;-
"250570 Dona Inês";-;-;-;-;-;-;-
"250580 Duas Estradas";-;-;-;-;-;-;-
"250590 Emas";-;-;-;-;-;-;-
"250600 Esperança";-;-;-;-;-;-;-
"250610 Fagundes";-;-;-;-;-;-;-
"250620 Frei Martinho";-;-;-;-;-;-;-
"250625 Gado Bravo";-;-;-;-;-;-;-
"250630 Guarabira";23;10;17;42;-;5;97
"250640 Gurinhém";-;-;-;-;-;-;-
"250650 Gurjão";-;-;-;-;-;-;-
"250660 Ibiara";-;-;-;-;-;-;-
"250260 Igaracy";-;-;-;-;-;-;-
"250670 Imaculada";-;-;-;-;-;-;-
"250680 Ingá";-;-;-;-;-;-;-
"250690 Itabaiana";-;-;-;-;-;-;-
"250700 Itaporanga";-;-;-;-;-;-;-
"250710 Itapororoca";-;-;-;-;-;-;-
"250720 Itatuba";-;-;-;-;-;-;-
"250730 Jacaraú";-;-;-;-;-;-;-
"250740 Jericó";-;-;-;-;-;-;-
"250750 João Pessoa";313;329;68;80;165;61;1016
"251365 Joca Claudino";-;-;-;-;-;-;-
"250760 Juarez Távora";-;-;-;-;-;-;-
"250770 Juazeirinho";-;-;-;-;-;-;-
"250780 Junco do Seridó";-;-;-;-;-;-;-
"250790 Juripiranga";-;-;-;-;-;-;-
"250800 Juru";-;-;-;-;-;-;-
"250810 Lagoa";-;-;-;-;-;-;-
"250820 Lagoa de Dentro";-;-;-;-;-;-;-
"250830 Lagoa Seca";-;-;-;-;-;-;-
"250840 Lastro";-;-;-;-;-;-;-
"250850 Livramento";-;-;-;-;-;-;-
"250855 Logradouro";-;-;-;-;-;-;-
"250860 Lucena";-;-;-;-;-;-;-
"250870 Mãe d'Água";-;-;-;-;-;-;-
"250880 Malta";-;-;-;-;-;-;-
"250890 Mamanguape";-;-;-;-;-;-;-
"250900 Manaíra";-;-;-;-;-;-;-
"250905 Marcação";-;-;-;-;-;-;-
"250910 Mari";-;-;-;-;-;-;-
"250915 Marizópolis";-;-;-;-;-;-;-
"250920 Massaranduba";-;-;-;-;-;-;-
"250930 Mataraca";-;-;-;-;-;-;-
"250933 Matinhas";-;-;-;-;-;-;-
"250937 Mato Grosso";-;-;-;-;-;-;-
"250939 Maturéia";-;-;-;-;-;-;-
"250940 Mogeiro";-;-;-;-;-;-;-
"250950 Montadas";-;-;-;-;-;-;-
"250960 Monte Horebe";-;-;-;-;-;-;-
"250970 Monteiro";4;6;-;-;-;4;14
"250980 Mulungu";-;-;-;-;-;-;-
"250990 Natuba";-;-;-;-;-;-;-
"251000 Nazarezinho";-;-;-;-;-;-;-
"251010 Nova Floresta";-;-;-;-;-;-;-
"251020 Nova Olinda";-;-;-;-;-;-;-
"251030 Nova Palmeira";-;-;-;-;-;-;-
"251040 Olho d'Água";-;-;-;-;-;-;-
"251050 Olivedos";-;-;-;-;-;-;-
"251060 Ouro Velho";-;-;-;-;-;-;-
"251065 Parari";-;-;-;-;-;-;-
"251070 Passagem";-;-;-;-;-;-;-
"251080 Patos";12;33;-;-;-;-;45
"251090 Paulista";-;-;-;-;-;-;-
"251100 Pedra Branca";-;-;-;-;-;-;-
"251110 Pedra Lavrada";-;-;-;-;-;-;-
"251120 Pedras de Fogo";-;-;-;-;-;-;-
"251272 Pedro Régis";-;-;-;-;-;-;-
"251130 Piancó";-;8;-;-;-;-;8
"251140 Picuí";-;-;-;-;-;-;-
"251150 Pilar";-;1;-;-;-;-;1
"251160 Pilões";-;-;-;-;-;-;-
"251170 Pilõezinhos";-;-;-;-;-;-;-
"251180 Pirpirituba";-;-;-;-;-;-;-
"251190 Pitimbu";-;-;-;-;-;-;-
"251200 Pocinhos";-;-;-;-;-;-;-
"251203 Poço Dantas";-;-;-;-;-;-;-
"251207 Poço de José de Moura";-;-;-;-;-;-;-
"251210 Pombal";-;-;-;-;-;-;-
"251220 Prata";-;-;-;-;-;-;-
"251230 Princesa Isabel";4;-;-;-;-;-;4
"251240 Puxinanã";-;-;-;-;-;-;-
"251250 Queimadas";-;-;-;-;-;-;-
"251260 Quixabá";-;-;-;-;-;-;-
"251270 Remígio";-;-;-;-;-;-;-
"251274 Riachão";-;-;-;-;-;-;-
"251275 Riachão do Bacamarte";-;-;-;-;-;-;-
"251276 Riachão do Poço";-;-;-;-;-;-;-
"251278 Riacho de Santo Antônio";-;-;-;-;-;-;-
"251280 Riacho dos Cavalos";-;-;-;-;-;-;-
"251290 Rio Tinto";-;-;-;-;-;-;-
"251300 Salgadinho";-;-;-;-;-;-;-
"251310 Salgado de São Félix";-;-;-;-;-;-;-
"251315 Santa Cecília";-;-;-;-;-;-;-
"251320 Santa Cruz";-;-;-;-;-;-;-
"251330 Santa Helena";-;-;-;-;-;-;-
"251335 Santa Inês";-;-;-;-;-;-;-
"251340 Santa Luzia";-;-;-;-;-;-;-
"251370 Santa Rita";5;1;2;-;-;-;8
"251380 Santa Teresinha";-;-;-;-;-;-;-
"251350 Santana de Mangueira";-;-;-;-;-;-;-
"251360 Santana dos Garrotes";-;-;-;-;-;-;-
"251385 Santo André";-;-;-;-;-;-;-
"251392 São Bentinho";-;-;-;-;-;-;-
"251390 São Bento";-;-;-;-;-;-;-
"251396 São Domingos";-;-;-;-;-;-;-
"251394 São Domingos do Cariri";-;-;-;-;-;-;-
"251398 São Francisco";-;-;-;-;-;-;-
"251400 São João do Cariri";-;-;-;-;-;-;-
"250070 São João do Rio do Peixe";-;-;-;-;-;-;-
"251410 São João do Tigre";-;-;-;-;-;-;-
"251420 São José da Lagoa Tapada";-;-;-;-;-;-;-
"251430 São José de Caiana";-;-;-;-;-;-;-
"251440 São José de Espinharas";-;-;-;-;-;-;-
"251450 São José de Piranhas";-;-;-;-;-;-;-
"251455 São José de Princesa";-;-;-;-;-;-;-
"251460 São José do Bonfim";-;-;-;-;-;-;-
"251465 São José do Brejo do Cruz";-;-;-;-;-;-;-
"251470 São José do Sabugi";-;-;-;-;-;-;-
"251480 São José dos Cordeiros";-;-;-;-;-;-;-
"251445 São José dos Ramos";-;-;-;-;-;-;-
"251490 São Mamede";-;-;-;-;-;-;-
"251500 São Miguel de Taipu";-;-;-;-;-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-;-;-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;-;-
"251540 São Vicente do Seridó";-;-;-;-;-;-;-
"251530 Sapé";-;-;-;-;-;-;-
"251550 Serra Branca";-;-;-;-;-;-;-
"251560 Serra da Raiz";-;-;-;-;-;-;-
"251570 Serra Grande";-;-;-;-;-;-;-
"251580 Serra Redonda";-;-;-;-;-;-;-
"251590 Serraria";-;-;-;-;-;-;-
"251593 Sertãozinho";-;-;-;-;-;-;-
"251597 Sobrado";-;-;-;-;-;-;-
"251600 Solânea";-;-;-;-;-;-;-
"251610 Soledade";-;-;-;-;-;-;-
"251615 Sossêgo";-;-;-;-;-;-;-
"251620 Sousa";37;11;32;13;-;-;93
"251630 Sumé";-;-;-;-;-;-;-
"251640 Tacima";-;-;-;-;-;-;-
"251650 Taperoá";-;-;-;-;-;-;-
"251660 Tavares";-;-;-;-;-;-;-
"251670 Teixeira";-;-;-;-;-;-;-
"251675 Tenório";-;-;-;-;-;-;-
"251680 Triunfo";-;-;-;-;-;-;-
"251690 Uiraúna";-;-;-;-;-;-;-
"251700 Umbuzeiro";-;-;-;-;-;-;-
"251710 Várzea";-;-;-;-;-;-;-
"251720 Vieirópolis";-;-;-;-;-;-;-
"250550 Vista Serrana";-;-;-;-;-;-;-
"251740 Zabelê";-;-;-;-;-;-;-
"250000 Município ignorado - PB";-;-;-;-;-;-;-
"260005 Abreu e Lima";77;49;56;20;-;40;242
"260010 Afogados da Ingazeira";9;7;6;4;-;-;26
"260020 Afrânio";-;-;-;-;-;-;-
"260030 Agrestina";2;5;4;-;21;15;47
"260040 Água Preta";-;-;-;-;-;-;-
"260050 Águas Belas";-;-;-;-;-;-;-
"260060 Alagoinha";-;-;-;-;-;-;-
"260070 Aliança";-;-;-;-;-;-;-
"260080 Altinho";-;-;-;-;-;-;-
"260090 Amaraji";-;-;-;-;-;-;-
"260100 Angelim";-;-;-;-;-;-;-
"260105 Araçoiaba";-;-;-;-;-;-;-
"260110 Araripina";8;12;8;5;-;-;33
"260120 Arcoverde";14;22;4;4;-;-;44
"260130 Barra de Guabiraba";-;-;-;-;-;-;-
"260140 Barreiros";-;-;-;-;-;-;-
"260150 Belém de Maria";-;-;-;-;-;-;-
"260160 Belém do São Francisco";-;-;-;-;-;-;-
"260170 Belo Jardim";10;10;16;-;-;-;36
"260180 Betânia";-;-;-;-;-;-;-
"260190 Bezerros";20;11;3;-;-;-;34
"260200 Bodocó";-;-;-;-;-;-;-
"260210 Bom Conselho";-;-;-;-;-;-;-
"260220 Bom Jardim";-;-;-;-;-;-;-
"260230 Bonito";-;-;-;-;-;-;-
"260240 Brejão";-;-;-;-;-;-;-
"260250 Brejinho";-;-;-;-;-;-;-
"260260 Brejo da Madre de Deus";-;-;-;-;-;-;-
"260270 Buenos Aires";-;-;-;-;-;-;-
"260280 Buíque";-;-;-;-;-;-;-
"260290 Cabo de Santo Agostinho";48;95;17;17;7;-;184
"260300 Cabrobó";-;-;-;-;-;-;-
"260310 Cachoeirinha";-;-;-;-;-;-;-
"260320 Caetés";-;-;-;-;-;-;-
"260330 Calçado";-;-;-;-;-;-;-
"260340 Calumbi";-;-;-;-;-;-;-
"260345 Camaragibe";-;-;-;-;210;10;220
"260350 Camocim de São Félix";-;-;-;-;-;-;-
"260360 Camutanga";-;-;-;-;-;-;-
"260370 Canhotinho";-;-;-;-;-;-;-
"260380 Capoeiras";-;-;-;-;-;-;-
"260390 Carnaíba";-;-;-;-;-;-;-
"260392 Carnaubeira da Penha";-;-;-;-;-;-;-
"260400 Carpina";1;-;1;-;-;-;2
"260410 Caruaru";115;45;21;15;21;-;217
"260415 Casinhas";-;-;-;-;-;-;-
"260420 Catende";-;-;-;-;-;-;-
"260430 Cedro";-;-;-;-;-;-;-
"260440 Chã de Alegria";-;-;-;-;-;-;-
"260450 Chã Grande";-;2;-;-;-;-;2
"260460 Condado";-;-;-;-;-;-;-
"260470 Correntes";-;-;-;-;-;-;-
"260480 Cortês";-;-;-;-;-;-;-
"260490 Cumaru";-;-;-;-;-;-;-
"260500 Cupira";-;-;-;-;-;-;-
"260510 Custódia";8;21;7;2;-;-;38
"260515 Dormentes";-;-;-;-;-;-;-
"260520 Escada";4;15;4;9;-;-;32
"260530 Exu";-;-;-;-;-;-;-
"260540 Feira Nova";-;-;-;-;-;-;-
"260545 Fernando de Noronha";-;-;-;-;-;-;-
"260550 Ferreiros";-;-;-;-;-;-;-
"260560 Flores";-;-;-;-;-;-;-
"260570 Floresta";-;-;10;-;-;-;10
"260580 Frei Miguelinho";-;-;-;-;-;-;-
"260590 Gameleira";-;-;-;-;-;-;-
"260600 Garanhuns";26;21;11;3;24;-;85
"260610 Glória do Goitá";-;-;-;-;-;-;-
"260620 Goiana";16;13;8;6;-;-;43
"260630 Granito";-;-;-;-;-;-;-
"260640 Gravatá";-;-;-;-;42;-;42
"260650 Iati";-;-;-;-;-;-;-
"260660 Ibimirim";-;-;-;-;-;-;-
"260670 Ibirajuba";-;-;-;-;-;-;-
"260680 Igarassu";-;-;-;-;244;-;244
"260690 Iguaracy";-;-;-;-;-;-;-
"260760 Ilha de Itamaracá";-;-;-;-;-;-;-
"260700 Inajá";-;-;-;-;-;-;-
"260710 Ingazeira";-;-;-;-;-;-;-
"260720 Ipojuca";-;-;-;-;-;-;-
"260730 Ipubi";-;-;-;-;-;-;-
"260740 Itacuruba";-;-;-;-;-;-;-
"260750 Itaíba";-;-;-;-;-;-;-
"260765 Itambé";-;-;-;-;-;-;-
"260770 Itapetim";-;-;-;-;-;-;-
"260775 Itapissuma";-;-;-;-;-;-;-
"260780 Itaquitinga";-;-;-;-;-;-;-
"260790 Jaboatão dos Guararapes";35;93;13;7;25;2;175
"260795 Jaqueira";-;-;-;-;-;-;-
"260800 Jataúba";-;-;-;-;-;-;-
"260805 Jatobá";-;-;-;-;-;-;-
"260810 João Alfredo";-;-;-;-;-;-;-
"260820 Joaquim Nabuco";-;-;-;-;-;-;-
"260825 Jucati";-;-;-;-;-;-;-
"260830 Jupi";-;-;-;-;-;-;-
"260840 Jurema";-;-;-;-;-;-;-
"260850 Lagoa de Itaenga";-;-;-;-;-;-;-
"260845 Lagoa do Carro";-;-;-;-;-;-;-
"260860 Lagoa do Ouro";-;-;-;-;-;-;-
"260870 Lagoa dos Gatos";-;-;-;-;-;-;-
"260875 Lagoa Grande";-;-;-;-;-;-;-
"260880 Lajedo";-;-;-;-;-;-;-
"260890 Limoeiro";17;4;6;-;-;-;27
"260900 Macaparana";-;-;-;-;-;-;-
"260910 Machados";-;-;-;-;-;-;-
"260915 Manari";-;-;-;-;-;-;-
"260920 Maraial";-;-;-;-;-;-;-
"260930 Mirandiba";-;-;-;-;-;-;-
"261430 Moreilândia";-;-;-;-;-;-;-
"260940 Moreno";-;-;-;-;-;-;-
"260950 Nazaré da Mata";-;-;-;-;-;-;-
"260960 Olinda";36;67;-;6;128;3;240
"260970 Orobó";-;-;-;-;-;-;-
"260980 Orocó";-;-;-;-;-;-;-
"260990 Ouricuri";6;-;-;-;-;-;6
"261000 Palmares";-;2;-;-;29;-;31
"261010 Palmeirina";-;-;-;-;-;-;-
"261020 Panelas";-;-;-;-;-;-;-
"261030 Paranatama";-;-;-;-;-;-;-
"261040 Parnamirim";-;-;-;-;-;-;-
"261050 Passira";-;-;-;-;-;-;-
"261060 Paudalho";-;10;-;-;33;-;43
"261070 Paulista";24;29;47;-;-;-;100
"261080 Pedra";-;-;-;-;-;-;-
"261090 Pesqueira";10;20;12;-;-;-;42
"261100 Petrolândia";-;-;-;-;-;-;-
"261110 Petrolina";105;101;33;39;10;5;293
"261120 Poção";-;-;-;-;-;-;-
"261130 Pombos";-;-;-;-;-;-;-
"261140 Primavera";-;-;-;-;-;-;-
"261150 Quipapá";-;-;-;-;-;-;-
"261153 Quixaba";-;-;-;-;-;-;-
"261160 Recife";732;849;113;125;61;33;1913
"261170 Riacho das Almas";-;-;-;-;-;-;-
"261180 Ribeirão";-;-;-;-;-;-;-
"261190 Rio Formoso";-;-;-;-;-;-;-
"261200 Sairé";-;-;-;-;-;-;-
"261210 Salgadinho";-;-;-;-;-;-;-
"261220 Salgueiro";4;33;18;10;-;-;65
"261230 Saloá";-;-;-;-;-;-;-
"261240 Sanharó";-;-;-;-;-;-;-
"261245 Santa Cruz";-;-;-;-;-;-;-
"261247 Santa Cruz da Baixa Verde";-;-;-;-;-;-;-
"261250 Santa Cruz do Capibaribe";-;6;-;-;-;-;6
"261255 Santa Filomena";-;-;-;-;-;-;-
"261260 Santa Maria da Boa Vista";-;-;-;-;-;-;-
"261270 Santa Maria do Cambucá";-;-;-;-;-;-;-
"261280 Santa Terezinha";-;-;-;-;-;-;-
"261290 São Benedito do Sul";-;-;-;-;-;-;-
"261300 São Bento do Una";-;-;-;-;-;-;-
"261310 São Caitano";-;-;-;-;-;-;-
"261320 São João";-;-;-;-;-;-;-
"261330 São Joaquim do Monte";-;-;-;-;-;-;-
"261340 São José da Coroa Grande";-;-;-;-;-;-;-
"261350 São José do Belmonte";-;-;-;-;-;-;-
"261360 São José do Egito";2;2;3;1;-;-;8
"261370 São Lourenço da Mata";-;-;-;-;-;-;-
"261380 São Vicente Ferrer";-;-;-;-;-;-;-
"261390 Serra Talhada";16;60;15;10;16;-;117
"261400 Serrita";-;-;-;-;-;-;-
"261410 Sertânia";6;10;3;-;-;-;19
"261420 Sirinhaém";-;-;-;-;-;-;-
"261440 Solidão";-;4;1;1;-;-;6
"261450 Surubim";2;1;2;-;-;-;5
"261460 Tabira";3;11;4;2;-;-;20
"261470 Tacaimbó";-;-;-;-;-;-;-
"261480 Tacaratu";-;-;-;-;-;-;-
"261485 Tamandaré";-;-;-;-;-;-;-
"261500 Taquaritinga do Norte";-;-;-;-;-;-;-
"261510 Terezinha";-;-;-;-;-;-;-
"261520 Terra Nova";-;-;-;-;-;-;-
"261530 Timbaúba";11;13;7;-;-;-;31
"261540 Toritama";-;-;-;-;-;-;-
"261550 Tracunhaém";-;-;-;-;-;-;-
"261560 Trindade";10;20;10;4;-;-;44
"261570 Triunfo";-;-;-;-;-;-;-
"261580 Tupanatinga";-;-;-;-;-;-;-
"261590 Tuparetama";-;-;-;-;-;-;-
"261600 Venturosa";-;-;-;-;-;-;-
"261610 Verdejante";-;-;-;-;-;-;-
"261618 Vertente do Lério";-;-;-;-;-;-;-
"261620 Vertentes";-;-;-;-;-;-;-
"261630 Vicência";-;-;-;-;-;-;-
"261640 Vitória de Santo Antão";104;18;5;7;-;-;134
"261650 Xexéu";-;-;-;-;-;-;-
"260000 Município ignorado - PE";-;-;-;-;-;-;-
"270010 Água Branca";-;-;-;-;-;-;-
"270020 Anadia";-;-;-;-;-;-;-
"270030 Arapiraca";120;9;27;78;16;5;255
"270040 Atalaia";-;-;-;-;-;-;-
"270050 Barra de Santo Antônio";-;-;-;-;-;-;-
"270060 Barra de São Miguel";-;-;-;-;-;-;-
"270070 Batalha";-;-;-;-;-;-;-
"270080 Belém";-;-;-;-;-;-;-
"270090 Belo Monte";-;-;-;-;-;-;-
"270100 Boca da Mata";-;-;-;-;-;-;-
"270110 Branquinha";-;-;-;-;-;-;-
"270120 Cacimbinhas";-;-;-;-;-;-;-
"270130 Cajueiro";-;-;-;-;-;-;-
"270135 Campestre";-;-;-;-;-;-;-
"270140 Campo Alegre";-;-;-;-;-;-;-
"270150 Campo Grande";-;-;-;-;-;-;-
"270160 Canapi";-;-;-;-;-;-;-
"270170 Capela";-;-;-;-;-;-;-
"270180 Carneiros";-;-;-;-;-;-;-
"270190 Chã Preta";-;-;-;-;-;-;-
"270200 Coité do Nóia";-;-;-;-;-;-;-
"270210 Colônia Leopoldina";-;-;-;-;-;-;-
"270220 Coqueiro Seco";-;-;-;-;-;-;-
"270230 Coruripe";-;-;-;-;-;-;-
"270235 Craíbas";-;-;-;-;-;-;-
"270240 Delmiro Gouveia";-;-;-;-;-;-;-
"270250 Dois Riachos";-;-;-;-;-;-;-
"270255 Estrela de Alagoas";-;-;-;-;-;-;-
"270260 Feira Grande";-;-;-;-;-;-;-
"270270 Feliz Deserto";-;-;-;-;-;-;-
"270280 Flexeiras";-;-;-;-;-;-;-
"270290 Girau do Ponciano";-;-;-;-;-;-;-
"270300 Ibateguara";-;-;-;-;-;-;-
"270310 Igaci";-;-;-;-;-;-;-
"270320 Igreja Nova";-;-;-;-;-;-;-
"270330 Inhapi";-;-;-;-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-;-;-;-
"270350 Jacuípe";-;-;-;-;-;-;-
"270360 Japaratinga";-;-;-;-;-;-;-
"270370 Jaramataia";-;-;-;-;-;-;-
"270375 Jequiá da Praia";-;-;-;-;-;-;-
"270380 Joaquim Gomes";-;-;-;-;-;-;-
"270390 Jundiá";-;-;-;-;-;-;-
"270400 Junqueiro";-;-;-;-;-;-;-
"270410 Lagoa da Canoa";-;-;-;-;-;-;-
"270420 Limoeiro de Anadia";-;-;-;-;-;-;-
"270430 Maceió";272;267;77;64;84;22;786
"270440 Major Isidoro";-;-;-;-;-;-;-
"270490 Mar Vermelho";-;-;-;-;-;-;-
"270450 Maragogi";-;-;-;-;-;-;-
"270460 Maravilha";-;-;-;-;-;-;-
"270470 Marechal Deodoro";-;-;-;-;-;-;-
"270480 Maribondo";-;-;-;-;-;-;-
"270500 Mata Grande";-;-;-;-;-;-;-
"270510 Matriz de Camaragibe";-;-;-;-;-;-;-
"270520 Messias";-;-;-;-;-;-;-
"270530 Minador do Negrão";-;-;-;-;-;-;-
"270540 Monteirópolis";-;-;-;-;-;-;-
"270550 Murici";-;-;-;-;-;-;-
"270560 Novo Lino";-;-;-;-;-;-;-
"270570 Olho d'Água das Flores";-;-;1;-;-;-;1
